A,E,Ecum,G_eff,K,L,Lambda,Omega,U,Y_damaged,Y_gross,Y_net,abatecost,dEcum_dt,dK_dt,delta_T,delta_c,f,mu,sigma,t,theta1,y,y_eff
1.1051709180756477,0.00042560136121314523,0.007860396406440267,0.3934259209673007,58537824771.47887,8300941067.199045,0.039714785271715534,1.2357166333275813e-37,-1.1651716039897144,16483504601.84876,16483504601.84876,15828865756.061,654638845.7877584,0.00042560136121314523,238881912.63825655,7.860396406440267e-18,0.07942957054343107,0.5,0.9369271657916539,4.093653765389909e-13,10.0,0.04524187090179798,1.5885914108686212,1.5097282024096976
1.1162780704588713,0.0003590771329775833,0.008285997767653413,0.3934259209673007,58776706684.11713,8328962713.684835,0.04012238009572229,1.3731551801111471e-37,-1.1595489929062406,16708890390.078075,16708890390.078075,16038489938.8696,670400451.208474,0.0003590771329775833,268862653.56806374,8.285997767653414e-18,0.08024476019144458,0.5,0.9464431629577161,4.0125939898123923e-13,11.0,0.04479170676482641,1.6048952038288915,1.5244049346016109
1.1274968515793757,0.0002922520154284812,0.008645074900630996,0.3934259209673007,59045569337.68519,8356613708.233258,0.040540810763469354,1.4947464007504006e-37,-1.1538672268170138,16939194748.44492,16939194748.44492,16252466059.66266,686728688.7822593,0.0002922520154284812,298214745.0482726,8.645074900630996e-18,0.08108162152693871,0.5,0.9561342635455228,3.9331393053327674e-13,12.0,0.044346021835857875,1.621632430538774,1.5394545636708024
1.1388283833246218,0.00022511246531407505,0.008937326916059477,0.3934259209673007,59343784082.73346,8383895935.860643,0.0409701057894176,1.5975162480904242e-37,-1.1481305969167468,17174455170.98394,17174455170.98394,16470815925.753119,703639245.2308222,0.00022511246531407505,326973981.0139508,8.937326916059477e-18,0.0819402115788352,0.5,0.9660012354112305,3.855257929017831e-13,13.0,0.043904771546028065,1.638804231576704,1.5548767531569005
1.1502737988572274,0.00015764592200462614,0.009162439381373552,0.3934259209673007,59670758063.74741,8410811377.170856,0.041410294741450235,1.6790059083468994e-37,-1.1423433048898899,17414708907.169403,17414708907.169403,16693560678.48696,721148228.6824437,0.00015764592200462614,355174232.5100212,9.162439381373553e-18,0.08282058948290047,0.5,0.9760448457324634,3.7789187072786274e-13,14.0,0.0434679117699403,1.6564117896580093,1.5706711641293203
1.161834242728283,8.984078381716385e-05,0.009320085303378179,0.3934259209673007,60025932296.25743,8437362104.604824,0.04186140839501262,1.7372798012449186e-37,-1.1365094570401646,17659993041.873287,17659993041.873287,16920720860.894348,739272180.9789389,8.984078381716385e-05,382847557.3659978,9.32008530337818e-18,0.08372281679002525,0.5,0.9862658639754179,3.7040911034085895e-13,15.0,0.043035398821252895,1.674456335800505,1.5868374601598032
1.1735108709918103,2.168638276623298e-05,0.009409926087195344,0.3934259209673007,60408779853.62343,8463550278.7205715,0.04232347887984761,1.7709341793295898e-37,-1.130633059204113,17910344573.497925,17910344573.497925,17152316483.210691,758028090.2872326,2.168638276623298e-05,410024303.96096706,9.409926087195345e-18,0.08464695775969523,0.5,0.9966650647403414,3.6307451853684546e-13,16.0,0.04260718944831057,1.6929391551939046,1.6033753119692593
1.1853048513203654,-4.6827042049670783e-05,0.009431612469961577,0.3934259209673007,60818804157.5844,8489378144.50751,0.04279653981916484,1.7791062756706948e-37,-1.124718012418726,18165800490.06817,18165800490.06817,17388367086.047962,777433404.0202066,-4.6827042049670783e-05,436733209.3303728,9.431612469961578e-18,0.08559307963832968,0.5,1.0072432304799201,3.558851613813048e-13,17.0,0.04218324082981919,1.7118615927665934,1.6202844017419253
1.1972173631218102,-0.00011570837222233649,0.009384785427911907,0.3934259209673007,61255537366.91477,8514848027.738551,0.043280626461152216,1.7614839505589536e-37,-1.1187681093095507,18426397843.101543,18426397843.101543,17628891801.029682,797506042.0718588,-0.00011570837222233649,463001491.86019754,9.384785427911907e-18,0.08656125292230443,0.5,1.0180011540865825,3.488381630355155e-13,18.0,0.0417635105705636,1.7312250584460886,1.637564427102599
1.2092495976572515,-0.00018496563877242378,0.00926907705568957,0.3934259209673007,61718538858.77497,8539962331.363355,0.043775775802800176,1.7183157892862168e-37,-1.1127870311627663,18692173819.10604,18692173819.10604,17873909408.733883,818264410.3721572,-0.00018496563877242378,488854938.80802774,9.269077055689571e-18,0.08755155160560034,0.5,1.0289396413460816,3.419307046061779e-13,19.0,0.04134795669716812,1.7510310321120066,1.6552151047551553
1.2214027581601699,-0.0002546060516644625,0.009084111416917146,0.3934259209673007,62207393797.583,8564723531.945878,0.04428202670606582,1.6504216046992891e-37,-1.1067783456425202,18963165808.58489,18963165808.58489,18123438393.817577,839727414.7673103,-0.0002546060516644625,514317988.8843651,9.084111416917147e-18,0.08856405341213165,0.5,1.0400595132559587,3.3516002301781966e-13,20.0,0.0409365376538991,1.771281068242633,1.6732361737827968
